Time_Closed,Pair_ID,Action,Volume,Leg1_Broker,Leg1_Ticket,Leg2_Broker,Leg2_Ticket,Entry_Mode,Entry_Dev,Entry_Live,Close_Mode,Close_Dev,Close_Live,Leg1_Open,Leg1_Close,Leg2_Open,Leg2_Close,Leg1_Profit,Leg2_Profit,Total_Fee,Net_Profit
2026-03-10 16:16:20,EXNESS_FXPRO,FORCE_CLOSE,0.01,EXNESS,1812008122,FXPRO,179504676,[F],0.40,-0.05,[STOPOUT],0.00,-0.10,5184.5470000000005,5186.840999999999,5184.6,5186.74,-2.29,2.14,-0.19,-0.34
2026-03-10 16:18:30,TICKMILL_EXNESS,FORCE_CLOSE,0.01,TICKMILL,188075918,EXNESS,1812008087,[F],0.40,-0.01,[STOPOUT],0.00,-0.27,5184.67,5185.21,5184.657,5185.479,0.54,-0.82,-0.17,-0.45
2026-03-10 19:26:00,TICKMILL_EXNESS,FORCE_CLOSE,0.01,EXNESS,1812566475,TICKMILL,188182912,[F],0.11,0.22,[STOPOUT],0.00,-0.15,5177.759,5179.069,5177.98,5179.22,1.31,-1.24,-0.17,-0.10
2026-03-10 19:39:18,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179640323,EXNESS,1812565613,[F],0.11,-1.22,[F],0.06,-0.03,5176.6,5180.32,5177.817,5180.285,-3.72,2.47,-0.19,-1.44
2026-03-10 19:55:29,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188183660,FXPRO,179641482,[F],0.19,-0.01,[NORMAL],0.08,-0.16,5179.02,5182.61,5179.01,5182.77,3.59,-3.76,-0.14,-0.31
2026-03-10 20:20:37,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188203449,FXPRO,179665368,[C],0.20,-0.15,[NORMAL],0.04,-0.13,5189.59,5213.44,5189.44,5213.57,23.85,-24.13,-0.14,-0.42
2026-03-10 20:38:52,EXNESS_FXPRO,FORCE_CLOSE,0.01,FXPRO,179689277,EXNESS,1812816996,[C],0.10,0.08,[STOPOUT],0.00,-0.12,5217.48,5210.61,5217.56,5210.732,-6.87,6.83,-0.19,-0.23
2026-03-10 20:39:01,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188221679,EXNESS,1812810345,[C],0.10,0.05,[NORMAL],0.13,0.54,5214.84,5211.47,5214.7919999999995,5212.01,3.37,-2.78,-0.17,0.42
2026-03-10 20:39:13,TICKMILL_FXPRO,FORCE_CLOSE,0.01,TICKMILL,188198749,FXPRO,179660363,[C],0.26,-0.13,[STOPOUT],0.00,1.03,5182.48,5212.44,5182.35,5211.41,29.96,-29.06,-0.14,0.76
2026-03-10 20:39:30,TICKMILL_FXPRO,FORCE_CLOSE,0.01,FXPRO,179645699,TICKMILL,188187198,[F],0.18,0.00,[STOPOUT],0.00,0.03,5181.1,5213.47,5181.1,5213.5,-32.37,32.40,-0.14,-0.11
2026-03-10 20:45:23,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179710370,TICKMILL,188244769,[C],0.45,0.24,[NORMAL],0.07,-0.18,5212.3,5207.32,5212.54,5207.5,-4.98,5.04,-0.14,-0.08
2026-03-10 20:48:34,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188248366,FXPRO,179713065,[C],0.31,-0.05,[NORMAL],0.35,-0.15,5209.06,5201.36,5209.11,5201.21,7.70,-7.90,-0.14,-0.34
2026-03-10 21:08:52,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188251686,FXPRO,179716841,[C],0.21,-0.01,[NORMAL],0.16,-0.06,5200.27,5192.75,5200.28,5192.69,7.52,-7.59,-0.14,-0.21
2026-03-10 21:16:52,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179740374,EXNESS,1813078883,[C],0.14,0.07,[NORMAL],0.17,0.18,5191.87,5210.77,5191.938,5210.595,18.90,-18.66,-0.19,0.05
2026-03-10 21:50:51,EXNESS_FXPRO,FORCE_CLOSE,0.01,EXNESS,1813252467,FXPRO,179774255,[C],0.10,0.17,[STOPOUT],0.00,-0.52,5207.33,5209.414,5207.16,5208.89,-2.08,1.73,-0.19,-0.54
2026-03-10 21:50:56,ERR_EXNESS,FORCE_CLOSE,0.01,EXNESS,1813266262,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5208.91,5210.416,0.0,0.0,-1.51,0.00,-0.11,-1.62
2026-03-10 21:53:17,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179775156,EXNESS,1813258623,[C],0.15,-0.05,[NORMAL],0.03,-0.15,5207.77,5210.49,5207.72,5210.641,2.72,-2.92,-0.19,-0.39
2026-03-10 21:58:15,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179775723,EXNESS,1813262325,[C],0.19,0.02,[NORMAL],0.15,0.03,5207.03,5211.51,5207.053,5211.48,4.48,-4.43,-0.19,-0.14
2026-03-10 22:11:03,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188253201,FXPRO,179718631,[C],0.13,-0.11,[NORMAL],0.08,0.01,5202.35,5220.65,5202.46,5220.66,-18.30,18.20,-0.14,-0.24
2026-03-10 22:16:10,ERR_FXPRO,FORCE_CLOSE,0.01,FXPRO,179790707,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5216.63,5224.42,0.0,0.0,7.79,0.00,-0.08,7.71
2026-03-10 22:16:14,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179729742,TICKMILL,188262565,[C],0.12,0.12,[NORMAL],0.47,-0.01,5203.75,5223.98,5203.87,5223.99,20.23,-20.12,-0.14,-0.03
2026-03-10 22:18:18,TICKMILL_FXPRO,FORCE_CLOSE,0.01,FXPRO,179776649,TICKMILL,188309279,[C],0.17,2.25,[STOPOUT],0.00,-0.16,5207.98,5223.23,5210.23,5223.39,15.25,-13.16,-0.14,1.95
2026-03-10 22:19:25,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188287008,FXPRO,179755681,[C],0.19,0.08,[NORMAL],0.03,-0.02,5211.35,5223.47,5211.27,5223.45,-12.12,12.18,-0.14,-0.08
2026-03-10 22:20:18,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179782694,TICKMILL,188318950,[C],0.19,7.59,[NORMAL],0.06,-0.09,5209.0,5227.49,5216.59,5227.58,18.49,-10.99,-0.14,7.36
2026-03-10 22:26:12,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179775722,TICKMILL,188304530,[C],0.10,-0.02,[NORMAL],0.30,-0.04,5207.05,5225.03,5207.03,5225.07,17.98,-18.04,-0.14,-0.20
2026-03-10 22:26:38,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179781444,TICKMILL,188311215,[C],0.16,-1.83,[NORMAL],0.22,-0.04,5210.37,5225.93,5208.54,5225.97,15.56,-17.43,-0.14,-2.01
2026-03-10 22:31:25,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188332671,EXNESS,1813404159,[C],0.19,0.26,[NORMAL],0.52,-0.16,5225.18,5227.63,5224.923,5227.474,-2.45,2.55,-0.17,-0.07
2026-03-10 22:32:26,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188333088,EXNESS,1813407058,[C],0.14,0.13,[NORMAL],0.07,-0.26,5224.44,5228.96,5224.313,5228.701,-4.52,4.39,-0.17,-0.30
